pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
123.825,-118.975,180.0,bottom,C1,,C_0603_1608Metric,10uF,smt,True
119.0,-124.6,90.0,bottom,C10,,C_0603_1608Metric,2.2uF,smt,True
126.0,-129.1,90.0,bottom,C11,,C_0603_1608Metric,10uF,smt,True
127.6,-129.1,90.0,bottom,C12,,C_0603_1608Metric,0.1uF,smt,True
150.037772,-85.8,180.0,bottom,C13,,C_0603_1608Metric,10uF,smt,True
150.037772,-84.1,180.0,bottom,C14,,C_0603_1608Metric,0.1uF,smt,True
148.775,-76.7,0.0,bottom,C15,,C_0603_1608Metric,10uF,smt,True
148.775,-78.5,0.0,bottom,C16,,C_0603_1608Metric,10uF,smt,True
153.725,-92.8575,180.0,bottom,C17,,C_0603_1608Metric,2.2uF,smt,True
153.725,-94.5175,180.0,bottom,C18,,C_0603_1608Metric,10uF,smt,True
146.477772,-81.56,90.0,bottom,C19,,C_0402_1005Metric,0.1uF,smt,True
123.825,-117.375,180.0,bottom,C2,,C_0603_1608Metric,0.1uF,smt,True
150.2,-99.6575,-90.0,bottom,C20,,C_0603_1608Metric,2.2uF,smt,True
151.8,-99.6575,-90.0,bottom,C21,,C_0603_1608Metric,10uF,smt,True
145.34,-102.9654,0.0,bottom,C22,,C_0603_1608Metric,10uF,smt,True
145.34,-104.6154,0.0,bottom,C23,,C_0603_1608Metric,0.1uF,smt,True
145.39,-110.19,0.0,bottom,C24,,C_0603_1608Metric,10uF,smt,True
145.39,-111.95,0.0,bottom,C25,,C_0603_1608Metric,10uF,smt,True
149.25,-107.75,0.0,bottom,C26,,C_0402_1005Metric,0.1uF,smt,True
138.425,-75.3,180.0,top,C27,,C_0603_1608Metric,0.1uF,smt,True
136.5,-70.785,90.0,top,C28,,C_0603_1608Metric,0.1uF,smt,True
138.1,-70.785,90.0,top,C29,,C_0603_1608Metric,0.1uF,smt,True
130.05,-129.885,0.0,bottom,C3,,C_0603_1608Metric,10uF,smt,True
139.67,-70.785,90.0,top,C30,,C_0603_1608Metric,0.1uF,smt,True
132.935,-133.57,90.0,bottom,C31,,C_0603_1608Metric,10uF,smt,True
132.935,-136.905,-90.0,bottom,C32,,C_0603_1608Metric,0.1uF,smt,True
131.335,-136.905,-90.0,bottom,C33,,C_0603_1608Metric,0.1uF,smt,True
129.735,-136.905,-90.0,bottom,C34,,C_0603_1608Metric,0.1uF,smt,True
119.6,-86.4,180.0,top,C35,,C_0603_1608Metric,0.1uF,smt,True
130.05,-128.335,0.0,bottom,C4,,C_0603_1608Metric,0.1uF,smt,True
122.275,-128.375,180.0,bottom,C5,,C_0603_1608Metric,10uF,smt,True
122.275,-129.885,180.0,bottom,C6,,C_0603_1608Metric,0.1uF,smt,True
120.7,-125.4,-90.0,bottom,C7,,C_0603_1608Metric,2.2uF,smt,True
119.88,-119.275,-90.0,bottom,C8,,C_0603_1608Metric,10uF,smt,True
117.4,-123.15,90.0,bottom,C9,,C_0603_1608Metric,0.1uF,smt,True
136.3,-95.4,180.0,bottom,D1,,D_SMA,SS34,smt,True
142.2,-97.6,-90.0,bottom,D2,,D_SMA,SMAJ5.0A,smt,True
113.75,-111.95,-90.0,bottom,J1,,CUI_SJ2-3574A-SMT-TR,SJ2-3574A-SMT-TR,smt,True
155.8,-134.3,90.0,top,J10,,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,Conn_01x05,tht,True
128.7827,-81.631535,-90.0,top,J11,,105162-0001_MOL,1051620001,smt,True
154.8,-90.025,180.0,bottom,J2,,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,Conn_01x02,tht,True
155.8,-86.9,0.0,top,J3,,JST-4P_1.25mm_TH,Conn_01x03,tht,True
127.82,-99.0,-90.0,bottom,J4,,PinHeader_1x05_P2.54mm_Vertical,Conn_01x05,tht,True
145.3,-77.8,0.0,top,J5,,PinHeader_1x02_P1.27mm_Vertical,Conn_01x02,tht,True
136.431007,-95.05,0.0,top,J6,,JST-8P_1.25mm,Conn_01x09,smt,True
149.703502,-100.05,0.0,top,J7,,JST-4P_1.25mm,Conn_01x04,smt,True
127.3,-104.23,90.0,top,J8,,PinHeader_1x04_P2.00mm_Vertical,Serial Programmer,tht,True
127.2,-133.835,90.0,bottom,J9,,PinHeader_1x02_P1.27mm_Vertical,Conn_01x02,tht,True
154.1,-80.7921,-90.0,top,L1,,IND_IHLP-2525CZ-01_VIS-M,SRN8040-100M_INDUC,smt,True
139.8,-107.3654,90.0,bottom,L2,,IND_IHLP-2525CZ-01_VIS-M,2.2uH,smt,True
132.2,-91.7,0.0,bottom,Q1,,SOT-23,SI2304,smt,True
155.85,-116.5,-90.0,bottom,Q2,,SOT-23,SI2304,smt,True
155.85,-122.7175,90.0,bottom,Q3,,SOT-23,SI2304,smt,True
120.39,-122.375,180.0,bottom,R1,,R_0402_1005Metric,470E,smt,True
150.2,-96.11,-90.0,bottom,R10,,R_0402_1005Metric,270E,smt,True
146.547772,-84.19,90.0,bottom,R11,,R_0402_1005Metric,100E,smt,True
150.65,-87.61,180.0,bottom,R12,,R_0402_1005Metric,10K,smt,True
148.61,-87.6,180.0,bottom,R13,,R_0402_1005Metric,10K,smt,True
148.77,-105.81,-90.0,bottom,R14,,R_0402_1005Metric,100E,smt,True
132.375,-101.825,0.0,top,R15,,R_0402_1005Metric,10K,smt,True
135.44,-101.348,-90.0,top,R16,,R_0402_1005Metric,10K,smt,True
138.425,-73.59,180.0,top,R17,,R_0402_1005Metric,470K,smt,True
129.735,-134.345,90.0,bottom,R18,,R_0402_1005Metric,10K,smt,True
154.875,-119.48,90.0,bottom,R19,,R_0402_1005Metric,10K,smt,True
120.39,-121.285,180.0,bottom,R2,,R_0402_1005Metric,470E,smt,True
119.9,-77.481536,0.0,top,R20,,R_0402_1005Metric,10K,smt,True
119.9,-78.581533,0.0,top,R21,,R_0402_1005Metric,10K,smt,True
119.9,-80.781534,0.0,top,R22,,R_0402_1005Metric,10K,smt,True
119.9,-82.981535,0.0,top,R23,,R_0402_1005Metric,10K,smt,True
119.9,-84.081535,0.0,top,R24,,R_0402_1005Metric,10K,smt,True
125.265001,-88.8,90.0,top,R25,,R_0402_1005Metric,10K,smt,True
156.825,-119.48,-90.0,bottom,R26,,R_0402_1005Metric,10K,smt,True
131.335,-120.715,-90.0,bottom,R3,,R_0402_1005Metric,0E,smt,True
124.6,-129.375,90.0,bottom,R4,,R_0402_1005Metric,10K,smt,True
128.305,-92.14,90.0,bottom,R5,,R_0402_1005Metric,10K,smt,True
129.78,-92.14,90.0,bottom,R6,,R_0402_1005Metric,1K,smt,True
151.6,-96.11,-90.0,bottom,R7,,R_0402_1005Metric,10K,smt,True
154.94,-100.4325,0.0,bottom,R8,,R_0402_1005Metric,560E,smt,True
155.95,-94.475,-90.0,bottom,R9,,R_0402_1005Metric,10K,smt,True
125.9125,-123.5,0.0,bottom,U1,,TSSOP-20_4.4x6.5mm_P0.65mm,PCM5102A,smt,True
154.5,-97.7575,-90.0,bottom,U2,,SOT-23-6,BQ21040DBVR,smt,True
149.412772,-81.29,180.0,bottom,U3,,TPS63000DRCR,TPS63001DRCR,smt,True
146.015,-107.4654,0.0,bottom,U4,,TPS63000DRCR,TPS63001DRCR,smt,True
133.05,-75.64,180.0,bottom,U5,,ESP32-S3-WROOM1-N4R2,ESP32-S3-WROOM,smt,True
144.0,-129.14,0.0,bottom,U6,,XCVR_ESP32-WROVER,ESP32-WROVER-IE-N16R8 ,smt,True
